name,index,row,column,x,y,width,height
Frostiron Relic,217,22,4,256,1408,64,64
Frostiron Helm,218,22,5,320,1408,64,64
Frostiron Chest,219,22,6,384,1408,64,64
Frostiron Gloves,220,22,7,448,1408,64,64
Frostiron Leggings,221,22,8,512,1408,64,64
Frostiron Boots,222,22,9,576,1408,64,64
Dusksteel Sword,223,23,0,0,1472,64,64
Dusksteel Shield,224,23,1,64,1472,64,64
Dusksteel Ring,225,23,2,128,1472,64,64
Dusksteel Amulet,226,23,3,192,1472,64,64
Dusksteel Relic,227,23,4,256,1472,64,64
Dusksteel Helm,228,23,5,320,1472,64,64
Dusksteel Chest,229,23,6,384,1472,64,64
Dusksteel Gloves,230,23,7,448,1472,64,64
Dusksteel Leggings,231,23,8,512,1472,64,64
Dusksteel Boots,232,23,9,576,1472,64,64
Titanium Sword,233,24,0,0,1536,64,64
Titanium Shield,234,24,1,64,1536,64,64
Titanium Ring,235,24,2,128,1536,64,64
Titanium Amulet,236,24,3,192,1536,64,64
Titanium Relic,237,24,4,256,1536,64,64
Titanium Helm,238,24,5,320,1536,64,64
Titanium Chest,239,24,6,384,1536,64,64
Titanium Gloves,240,24,7,448,1536,64,64
Titanium Leggings,241,24,8,512,1536,64,64
Titanium Boots,242,24,9,576,1536,64,64
Skysteel Sword,243,25,0,0,1600,64,64
Skysteel Shield,244,25,1,64,1600,64,64
Skysteel Ring,245,25,2,128,1600,64,64
Skysteel Amulet,246,25,3,192,1600,64,64
Skysteel Relic,247,25,4,256,1600,64,64
Skysteel Helm,248,25,5,320,1600,64,64
Skysteel Chest,249,25,6,384,1600,64,64
Skysteel Gloves,250,25,7,448,1600,64,64
Skysteel Leggings,251,25,8,512,1600,64,64
Skysteel Boots,252,25,9,576,1600,64,64
Emberium Sword,253,26,0,0,1664,64,64
Emberium Shield,254,26,1,64,1664,64,64
Emberium Ring,255,26,2,128,1664,64,64
Emberium Amulet,256,26,3,192,1664,64,64
Emberium Relic,257,26,4,256,1664,64,64
Emberium Helm,258,26,5,320,1664,64,64
Emberium Chest,259,26,6,384,1664,64,64
Emberium Gloves,260,26,7,448,1664,64,64
Emberium Leggings,261,26,8,512,1664,64,64
Emberium Boots,262,26,9,576,1664,64,64
Soulsteel Sword,263,27,0,0,1728,64,64
Soulsteel Shield,264,27,1,64,1728,64,64
Soulsteel Ring,265,27,2,128,1728,64,64
Soulsteel Amulet,266,27,3,192,1728,64,64
Soulsteel Relic,267,27,4,256,1728,64,64
Soulsteel Helm,268,27,5,320,1728,64,64
Soulsteel Chest,269,27,6,384,1728,64,64
Soulsteel Gloves,270,27,7,448,1728,64,64
Soulsteel Leggings,271,27,8,512,1728,64,64
Soulsteel Boots,272,27,9,576,1728,64,64
Chronite Sword,273,28,0,0,1792,64,64
Chronite Shield,274,28,1,64,1792,64,64
Chronite Ring,275,28,2,128,1792,64,64
Chronite Amulet,276,28,3,192,1792,64,64
Chronite Relic,277,28,4,256,1792,64,64
Chronite Helm,278,28,5,320,1792,64,64
Chronite Chest,279,28,6,384,1792,64,64
Chronite Gloves,280,28,7,448,1792,64,64
Chronite Leggings,281,28,8,512,1792,64,64
Chronite Boots,282,28,9,576,1792,64,64
Worldforge Sword,283,29,0,0,1856,64,64
Worldforge Shield,284,29,1,64,1856,64,64
Worldforge Ring,285,29,2,128,1856,64,64
Worldforge Amulet,286,29,3,192,1856,64,64
Worldforge Relic,287,29,4,256,1856,64,64
Worldforge Helm,288,29,5,320,1856,64,64
Worldforge Chest,289,29,6,384,1856,64,64
Worldforge Gloves,290,29,7,448,1856,64,64
Worldforge Leggings,291,29,8,512,1856,64,64
Worldforge Boots,292,29,9,576,1856,64,64
Voidglass Sword,293,30,0,0,1920,64,64
Voidglass Shield,294,30,1,64,1920,64,64
Voidglass Ring,295,30,2,128,1920,64,64
Voidglass Amulet,296,30,3,192,1920,64,64
Voidglass Relic,297,30,4,256,1920,64,64
Voidglass Helm,298,30,5,320,1920,64,64
Voidglass Chest,299,30,6,384,1920,64,64
Voidglass Gloves,300,30,7,448,1920,64,64
Voidglass Leggings,301,30,8,512,1920,64,64
Voidglass Boots,302,30,9,576,1920,64,64
Thalassic Sword,303,31,0,0,1984,64,64
Thalassic Shield,304,31,1,64,1984,64,64
Thalassic Ring,305,31,2,128,1984,64,64
Thalassic Amulet,306,31,3,192,1984,64,64
Thalassic Relic,307,31,4,256,1984,64,64
Thalassic Helm,308,31,5,320,1984,64,64
Thalassic Chest,309,31,6,384,1984,64,64
Thalassic Gloves,310,31,7,448,1984,64,64
Thalassic Leggings,311,31,8,512,1984,64,64
Thalassic Boots,312,31,9,576,1984,64,64
Ashspire Sword,313,32,0,0,2048,64,64
Ashspire Shield,314,32,1,64,2048,64,64
Ashspire Ring,315,32,2,128,2048,64,64
Ashspire Amulet,316,32,3,192,2048,64,64
Ashspire Relic,317,32,4,256,2048,64,64
Ashspire Helm,318,32,5,320,2048,64,64
Ashspire Chest,319,32,6,384,2048,64,64
Ashspire Gloves,320,32,7,448,2048,64,64
Ashspire Leggings,321,32,8,512,2048,64,64
Ashspire Boots,322,32,9,576,2048,64,64
Glacirite Sword,323,33,0,0,2112,64,64
Glacirite Shield,324,33,1,64,2112,64,64
Glacirite Ring,325,33,2,128,2112,64,64
Glacirite Amulet,326,33,3,192,2112,64,64
Glacirite Relic,327,33,4,256,2112,64,64
Glacirite Helm,328,33,5,320,2112,64,64
Glacirite Chest,329,33,6,384,2112,64,64
Glacirite Gloves,330,33,7,448,2112,64,64
Glacirite Leggings,331,33,8,512,2112,64,64
Glacirite Boots,332,33,9,576,2112,64,64
Primordite Sword,333,34,0,0,2176,64,64
Primordite Shield,334,34,1,64,2176,64,64
Primordite Ring,335,34,2,128,2176,64,64
Primordite Amulet,336,34,3,192,2176,64,64
Primordite Relic,337,34,4,256,2176,64,64
Primordite Helm,338,34,5,320,2176,64,64
Primordite Chest,339,34,6,384,2176,64,64
Primordite Gloves,340,34,7,448,2176,64,64
Primordite Leggings,341,34,8,512,2176,64,64
Primordite Boots,342,34,9,576,2176,64,64
Cotton Hood,343,35,0,0,2240,64,64
Cotton Robe,344,35,1,64,2240,64,64
Cotton Gloves,345,35,2,128,2240,64,64
Cotton Leggings,346,35,3,192,2240,64,64
Cotton Boots,347,35,4,256,2240,64,64
Flax Hood,348,36,0,0,2304,64,64
Flax Robe,349,36,1,64,2304,64,64
Flax Gloves,350,36,2,128,2304,64,64
Flax Leggings,351,36,3,192,2304,64,64
Flax Boots,352,36,4,256,2304,64,64
Wool Hood,353,37,0,0,2368,64,64
Wool Robe,354,37,1,64,2368,64,64
Wool Gloves,355,37,2,128,2368,64,64
Wool Leggings,356,37,3,192,2368,64,64
Wool Boots,357,37,4,256,2368,64,64
Silk Hood,358,38,0,0,2432,64,64
Silk Robe,359,38,1,64,2432,64,64
Silk Gloves,360,38,2,128,2432,64,64
Silk Leggings,361,38,3,192,2432,64,64
Silk Boots,362,38,4,256,2432,64,64
Mythril Silk Hood,363,39,0,0,2496,64,64
Mythril Silk Robe,364,39,1,64,2496,64,64
Mythril Silk Gloves,365,39,2,128,2496,64,64
Mythril Silk Leggings,366,39,3,192,2496,64,64
Mythril Silk Boots,367,39,4,256,2496,64,64
Starweave Hood,368,40,0,0,2560,64,64
Starweave Robe,369,40,1,64,2560,64,64
Starweave Gloves,370,40,2,128,2560,64,64
Starweave Leggings,371,40,3,192,2560,64,64
Starweave Boots,372,40,4,256,2560,64,64
Shadowweave Hood,373,41,0,0,2624,64,64
Shadowweave Robe,374,41,1,64,2624,64,64
Shadowweave Gloves,375,41,2,128,2624,64,64
Shadowweave Leggings,376,41,3,192,2624,64,64
Shadowweave Boots,377,41,4,256,2624,64,64
Runic Thread Hood,378,42,0,0,2688,64,64
Runic Thread Robe,379,42,1,64,2688,64,64
Runic Thread Gloves,380,42,2,128,2688,64,64
Runic Thread Leggings,381,42,3,192,2688,64,64
Runic Thread Boots,382,42,4,256,2688,64,64
Dragonscale Silk Hood,383,43,0,0,2752,64,64
Dragonscale Silk Robe,384,43,1,64,2752,64,64
Dragonscale Silk Gloves,385,43,2,128,2752,64,64
Dragonscale Silk Leggings,386,43,3,192,2752,64,64
Dragonscale Silk Boots,387,43,4,256,2752,64,64
Aether Silk Hood,388,44,0,0,2816,64,64
Aether Silk Robe,389,44,1,64,2816,64,64
Aether Silk Gloves,390,44,2,128,2816,64,64
Aether Silk Leggings,391,44,3,192,2816,64,64
Aether Silk Boots,392,44,4,256,2816,64,64
Void Thread Hood,393,45,0,0,2880,64,64
Void Thread Robe,394,45,1,64,2880,64,64
Void Thread Gloves,395,45,2,128,2880,64,64
Void Thread Leggings,396,45,3,192,2880,64,64
Void Thread Boots,397,45,4,256,2880,64,64
Celestial Silk Hood,398,46,0,0,2944,64,64
Celestial Silk Robe,399,46,1,64,2944,64,64
Celestial Silk Gloves,400,46,2,128,2944,64,64
Celestial Silk Leggings,401,46,3,192,2944,64,64
Celestial Silk Boots,402,46,4,256,2944,64,64
Bloodweave Hood,403,47,0,0,3008,64,64
Bloodweave Robe,404,47,1,64,3008,64,64
Bloodweave Gloves,405,47,2,128,3008,64,64
Bloodweave Leggings,406,47,3,192,3008,64,64
Bloodweave Boots,407,47,4,256,3008,64,64
Moonsilk Hood,408,48,0,0,3072,64,64
Moonsilk Robe,409,48,1,64,3072,64,64
Moonsilk Gloves,410,48,2,128,3072,64,64
Moonsilk Leggings,411,48,3,192,3072,64,64
Moonsilk Boots,412,48,4,256,3072,64,64
Sunweave Hood,413,49,0,0,3136,64,64
Sunweave Robe,414,49,1,64,3136,64,64
Sunweave Gloves,415,49,2,128,3136,64,64
Sunweave Leggings,416,49,3,192,3136,64,64
Sunweave Boots,417,49,4,256,3136,64,64
Netherweave Hood,418,50,0,0,3200,64,64
Netherweave Robe,419,50,1,64,3200,64,64
Netherweave Gloves,420,50,2,128,3200,64,64
Netherweave Leggings,421,50,3,192,3200,64,64
Netherweave Boots,422,50,4,256,3200,64,64
Stormsilk Hood,423,51,0,0,3264,64,64
Stormsilk Robe,424,51,1,64,3264,64,64
Stormsilk Gloves,425,51,2,128,3264,64,64
Stormsilk Leggings,426,51,3,192,3264,64,64
Stormsilk Boots,427,51,4,256,3264,64,64
Regal Silk Hood,428,52,0,0,3328,64,64
Regal Silk Robe,429,52,1,64,3328,64,64
Regal Silk Gloves,430,52,2,128,3328,64,64
Regal Silk Leggings,431,52,3,192,3328,64,64
Regal Silk Boots,432,52,4,256,3328,64,64
Eternal Weave Hood,433,53,0,0,3392,64,64
Eternal Weave Robe,434,53,1,64,3392,64,64
Eternal Weave Gloves,435,53,2,128,3392,64,64
Eternal Weave Leggings,436,53,3,192,3392,64,64
Eternal Weave Boots,437,53,4,256,3392,64,64
Astral Silk Hood,438,54,0,0,3456,64,64
Astral Silk Robe,439,54,1,64,3456,64,64
Astral Silk Gloves,440,54,2,128,3456,64,64
Astral Silk Leggings,441,54,3,192,3456,64,64
Astral Silk Boots,442,54,4,256,3456,64,64
Gravity Weave Hood,443,55,0,0,3520,64,64
Gravity Weave Robe,444,55,1,64,3520,64,64
Gravity Weave Gloves,445,55,2,128,3520,64,64
Gravity Weave Leggings,446,55,3,192,3520,64,64
Gravity Weave Boots,447,55,4,256,3520,64,64
Frostweave Hood,448,56,0,0,3584,64,64
Frostweave Robe,449,56,1,64,3584,64,64
Frostweave Gloves,450,56,2,128,3584,64,64
Frostweave Leggings,451,56,3,192,3584,64,64
Frostweave Boots,452,56,4,256,3584,64,64
Duskweave Hood,453,57,0,0,3648,64,64
Duskweave Robe,454,57,1,64,3648,64,64
Duskweave Gloves,455,57,2,128,3648,64,64
Duskweave Leggings,456,57,3,192,3648,64,64
Duskweave Boots,457,57,4,256,3648,64,64
Titanweave Hood,458,58,0,0,3712,64,64
Titanweave Robe,459,58,1,64,3712,64,64
Titanweave Gloves,460,58,2,128,3712,64,64
Titanweave Leggings,461,58,3,192,3712,64,64
Titanweave Boots,462,58,4,256,3712,64,64
Skysilk Hood,463,59,0,0,3776,64,64
Skysilk Robe,464,59,1,64,3776,64,64
Skysilk Gloves,465,59,2,128,3776,64,64
Skysilk Leggings,466,59,3,192,3776,64,64
Skysilk Boots,467,59,4,256,3776,64,64
Emberweave Hood,468,60,0,0,3840,64,64
Emberweave Robe,469,60,1,64,3840,64,64
Emberweave Gloves,470,60,2,128,3840,64,64
Emberweave Leggings,471,60,3,192,3840,64,64
Emberweave Boots,472,60,4,256,3840,64,64
Soulweave Hood,473,61,0,0,3904,64,64
Soulweave Robe,474,61,1,64,3904,64,64
Soulweave Gloves,475,61,2,128,3904,64,64
Soulweave Leggings,476,61,3,192,3904,64,64
Soulweave Boots,477,61,4,256,3904,64,64
Chronoweave Hood,478,62,0,0,3968,64,64
Chronoweave Robe,479,62,1,64,3968,64,64
Chronoweave Gloves,480,62,2,128,3968,64,64
Chronoweave Leggings,481,62,3,192,3968,64,64
Chronoweave Boots,482,62,4,256,3968,64,64
Worldweave Hood,483,63,0,0,4032,64,64
Worldweave Robe,484,63,1,64,4032,64,64
Worldweave Gloves,485,63,2,128,4032,64,64
Worldweave Leggings,486,63,3,192,4032,64,64
Worldweave Boots,487,63,4,256,4032,64,64
Voidglass Silk Hood,488,64,0,0,4096,64,64
Voidglass Silk Robe,489,64,1,64,4096,64,64
Voidglass Silk Gloves,490,64,2,128,4096,64,64
Voidglass Silk Leggings,491,64,3,192,4096,64,64
Voidglass Silk Boots,492,64,4,256,4096,64,64
Abyssal Silk Hood,493,65,0,0,4160,64,64
Abyssal Silk Robe,494,65,1,64,4160,64,64
Abyssal Silk Gloves,495,65,2,128,4160,64,64
Abyssal Silk Leggings,496,65,3,192,4160,64,64
Abyssal Silk Boots,497,65,4,256,4160,64,64
Ashweave Hood,498,66,0,0,4224,64,64
Ashweave Robe,499,66,1,64,4224,64,64
Ashweave Gloves,500,66,2,128,4224,64,64
Ashweave Leggings,501,66,3,192,4224,64,64
Ashweave Boots,502,66,4,256,4224,64,64
Glacial Silk Hood,503,67,0,0,4288,64,64
Glacial Silk Robe,504,67,1,64,4288,64,64
Glacial Silk Gloves,505,67,2,128,4288,64,64
Glacial Silk Leggings,506,67,3,192,4288,64,64
Glacial Silk Boots,507,67,4,256,4288,64,64
Primordial Weave Hood,508,68,0,0,4352,64,64
Primordial Weave Robe,509,68,1,64,4352,64,64
Primordial Weave Gloves,510,68,2,128,4352,64,64
Primordial Weave Leggings,511,68,3,192,4352,64,64
Primordial Weave Boots,512,68,4,256,4352,64,64
Enchanted Belt Lv. 1,513,69,0,0,4416,64,64
Enchanted Belt Lv. 2,514,69,1,64,4416,64,64
Enchanted Belt Lv. 3,515,69,2,128,4416,64,64
Enchanted Belt Lv. 4,516,69,3,192,4416,64,64
Enchanted Belt Lv. 5,517,69,4,256,4416,64,64
Enchanted Belt Lv. 6,518,69,5,320,4416,64,64
Enchanted Belt Lv. 7,519,69,6,384,4416,64,64
Enchanted Belt Lv. 8,520,69,7,448,4416,64,64
Enchanted Belt Lv. 9,521,69,8,512,4416,64,64
Enchanted Belt Lv. 10,522,69,9,576,4416,64,64
Enchanted Belt Lv. 11,523,70,0,0,4480,64,64
Enchanted Belt Lv. 12,524,70,1,64,4480,64,64
Enchanted Belt Lv. 13,525,70,2,128,4480,64,64
Enchanted Belt Lv. 14,526,70,3,192,4480,64,64
Enchanted Belt Lv. 15,527,70,4,256,4480,64,64
Enchanted Belt Lv. 16,528,70,5,320,4480,64,64
Enchanted Belt Lv. 17,529,70,6,384,4480,64,64
Enchanted Belt Lv. 18,530,70,7,448,4480,64,64
Enchanted Belt Lv. 19,531,70,8,512,4480,64,64
Enchanted Belt Lv. 20,532,70,9,576,4480,64,64
Enchanted Belt Lv. 21,533,71,0,0,4544,64,64
Enchanted Belt Lv. 22,534,71,1,64,4544,64,64
Enchanted Belt Lv. 23,535,71,2,128,4544,64,64
Enchanted Belt Lv. 24,536,71,3,192,4544,64,64
Enchanted Belt Lv. 25,537,71,4,256,4544,64,64
Enchanted Belt Lv. 26,538,71,5,320,4544,64,64
Enchanted Belt Lv. 27,539,71,6,384,4544,64,64
Enchanted Belt Lv. 28,540,71,7,448,4544,64,64
Enchanted Belt Lv. 29,541,71,8,512,4544,64,64
Enchanted Belt Lv. 30,542,71,9,576,4544,64,64
Enchanted Belt Lv. 31,543,72,0,0,4608,64,64
Enchanted Belt Lv. 32,544,72,1,64,4608,64,64
Enchanted Belt Lv. 33,545,72,2,128,4608,64,64
Enchanted Belt Lv. 34,546,72,3,192,4608,64,64
Enchanted Belt Lv. 35,547,72,4,256,4608,64,64
Enchanted Belt Lv. 36,548,72,5,320,4608,64,64
Enchanted Belt Lv. 37,549,72,6,384,4608,64,64
Enchanted Belt Lv. 38,550,72,7,448,4608,64,64
Enchanted Belt Lv. 39,551,72,8,512,4608,64,64
Enchanted Belt Lv. 40,552,72,9,576,4608,64,64
Gilded Cotton Cloak of Fortune,553,73,0,0,4672,64,64
Gilded Cotton Cloak of the Harvest,554,73,1,64,4672,64,64
Gilded Cotton Cloak of Insight,555,73,2,128,4672,64,64
Fortunate Cotton Cloak of the Harvest,556,73,3,192,4672,64,64
Fortunate Cotton Cloak of Insight,557,73,4,256,4672,64,64
Nimble Cotton Cloak of Insight,558,73,5,320,4672,64,64
Gilded Flax Cloak of Fortune,559,74,0,0,4736,64,64
Gilded Flax Cloak of the Harvest,560,74,1,64,4736,64,64
Gilded Flax Cloak of Insight,561,74,2,128,4736,64,64
Fortunate Flax Cloak of the Harvest,562,74,3,192,4736,64,64
Fortunate Flax Cloak of Insight,563,74,4,256,4736,64,64
Nimble Flax Cloak of Insight,564,74,5,320,4736,64,64
Gilded Wool Cloak of Fortune,565,75,0,0,4800,64,64
Gilded Wool Cloak of the Harvest,566,75,1,64,4800,64,64
