item_id,name,category,subcategory,tier,group,art_source,shared_icon_key,index,row,column,x,y,width,height,original_r3_index,original_r2_index
astralium_ore,Astralium Ore,Resource,Raw material,20,resources.ore,supplied ore sheet / generated tier 33-34,,19,1,9,1152,128,128,128,19,19
gravite_ore,Gravite Ore,Resource,Raw material,21,resources.ore,supplied ore sheet / generated tier 33-34,,20,2,0,0,256,128,128,20,20
frostiron_ore,Frostiron Ore,Resource,Raw material,22,resources.ore,supplied ore sheet / generated tier 33-34,,21,2,1,128,256,128,128,21,21
dusksteel_ore,Dusksteel Ore,Resource,Raw material,23,resources.ore,supplied ore sheet / generated tier 33-34,,22,2,2,256,256,128,128,22,22
titanium_ore,Titanium Ore,Resource,Raw material,24,resources.ore,supplied ore sheet / generated tier 33-34,,23,2,3,384,256,128,128,23,23
skysteel_ore,Skysteel Ore,Resource,Raw material,25,resources.ore,supplied ore sheet / generated tier 33-34,,24,2,4,512,256,128,128,24,24
emberium_ore,Emberium Ore,Resource,Raw material,26,resources.ore,supplied ore sheet / generated tier 33-34,,25,2,5,640,256,128,128,25,25
soulsteel_ore,Soulsteel Ore,Resource,Raw material,27,resources.ore,supplied ore sheet / generated tier 33-34,,26,2,6,768,256,128,128,26,26
chronite_ore,Chronite Ore,Resource,Raw material,28,resources.ore,supplied ore sheet / generated tier 33-34,,27,2,7,896,256,128,128,27,27
worldforge_ore,Worldforge Ore,Resource,Raw material,29,resources.ore,supplied ore sheet / generated tier 33-34,,28,2,8,1024,256,128,128,28,28
voidglass_ore,Voidglass Ore,Resource,Raw material,30,resources.ore,supplied ore sheet / generated tier 33-34,,29,2,9,1152,256,128,128,29,29
thalassic_ore,Thalassic Ore,Resource,Raw material,31,resources.ore,supplied ore sheet / generated tier 33-34,,30,3,0,0,384,128,128,30,30
ashspire_ore,Ashspire Ore,Resource,Raw material,32,resources.ore,supplied ore sheet / generated tier 33-34,,31,3,1,128,384,128,128,31,31
glacirite_ore,Glacirite Ore,Resource,Raw material,33,resources.ore,supplied ore sheet / generated tier 33-34,,32,3,2,256,384,128,128,32,32
primordite_ore,Primordite Ore,Resource,Raw material,34,resources.ore,supplied ore sheet / generated tier 33-34,,33,3,3,384,384,128,128,33,33
copperbloom,Copperbloom,Resource,Raw material,1,resources.plant,generated botanical family,,34,3,4,512,384,128,128,34,34
ironleaf,Ironleaf,Resource,Raw material,2,resources.plant,generated botanical family,,35,3,5,640,384,128,128,35,35
silverroot,Silverroot,Resource,Raw material,3,resources.plant,generated botanical family,,36,3,6,768,384,128,128,36,36
golden_mint,Golden Mint,Resource,Raw material,4,resources.plant,generated botanical family,,37,3,7,896,384,128,128,37,37
mythril_moss,Mythril Moss,Resource,Raw material,5,resources.plant,generated botanical family,,38,3,8,1024,384,128,128,38,38
starpetal,Starpetal,Resource,Raw material,6,resources.plant,generated botanical family,,39,3,9,1152,384,128,128,39,39
obsidian_thorn,Obsidian Thorn,Resource,Raw material,7,resources.plant,generated botanical family,,40,4,0,0,512,128,128,40,40
runebloom,Runebloom,Resource,Raw material,8,resources.plant,generated botanical family,,41,4,1,128,512,128,128,41,41
embersage,Embersage,Resource,Raw material,9,resources.plant,generated botanical family,,42,4,2,256,512,128,128,42,42
aetherreed,Aetherreed,Resource,Raw material,10,resources.plant,generated botanical family,,43,4,3,384,512,128,128,43,43
void_fern,Void Fern,Resource,Raw material,11,resources.plant,generated botanical family,,44,4,4,512,512,128,128,44,44
sunblossom,Sunblossom,Resource,Raw material,12,resources.plant,generated botanical family,,45,4,5,640,512,128,128,45,45
bloodvine,Bloodvine,Resource,Raw material,13,resources.plant,generated botanical family,,46,4,6,768,512,128,128,46,46
moonshade,Moonshade,Resource,Raw material,14,resources.plant,generated botanical family,,47,4,7,896,512,128,128,47,47
sunflare_bloom,Sunflare Bloom,Resource,Raw material,15,resources.plant,generated botanical family,,48,4,8,1024,512,128,128,48,48
nether_bramble,Nether Bramble,Resource,Raw material,16,resources.plant,generated botanical family,,49,4,9,1152,512,128,128,49,49
stormsage,Stormsage,Resource,Raw material,17,resources.plant,generated botanical family,,50,5,0,0,640,128,128,50,50
royal_thyme,Royal Thyme,Resource,Raw material,18,resources.plant,generated botanical family,,51,5,1,128,640,128,128,51,51
eternal_orchid,Eternal Orchid,Resource,Raw material,19,resources.plant,generated botanical family,,52,5,2,256,640,128,128,52,52
astral_bloom,Astral Bloom,Resource,Raw material,20,resources.plant,generated botanical family,,53,5,3,384,640,128,128,53,53
graviweed,Graviweed,Resource,Raw material,21,resources.plant,generated botanical family,,54,5,4,512,640,128,128,54,54
frostmint,Frostmint,Resource,Raw material,22,resources.plant,generated botanical family,,55,5,5,640,640,128,128,55,55
duskleaf,Duskleaf,Resource,Raw material,23,resources.plant,generated botanical family,,56,5,6,768,640,128,128,56,56
titanfern,Titanfern,Resource,Raw material,24,resources.plant,generated botanical family,,57,5,7,896,640,128,128,57,57
skyblossom,Skyblossom,Resource,Raw material,25,resources.plant,generated botanical family,,58,5,8,1024,640,128,128,58,58
emberroot,Emberroot,Resource,Raw material,26,resources.plant,generated botanical family,,59,5,9,1152,640,128,128,59,59
soulsprig,Soulsprig,Resource,Raw material,27,resources.plant,generated botanical family,,60,6,0,0,768,128,128,60,60
chrono_sage,Chrono Sage,Resource,Raw material,28,resources.plant,generated botanical family,,61,6,1,128,768,128,128,61,61
worldseed,Worldseed,Resource,Raw material,29,resources.plant,generated botanical family,,62,6,2,256,768,128,128,62,62
nullpetal,Nullpetal,Resource,Raw material,30,resources.plant,generated botanical family,,63,6,3,384,768,128,128,63,63
brinesage,Brinesage,Resource,Raw material,31,resources.plant,generated botanical family,,64,6,4,512,768,128,128,64,64
cinder_lily,Cinder Lily,Resource,Raw material,32,resources.plant,generated botanical family,,65,6,5,640,768,128,128,65,65
frostweald,Frostweald,Resource,Raw material,33,resources.plant,generated botanical family,,66,6,6,768,768,128,128,66,66
genesis_bloom,Genesis Bloom,Resource,Raw material,34,resources.plant,generated botanical family,,67,6,7,896,768,128,128,67,67
cotton,Cotton,Resource,Raw material,1,resources.fiber,generated raw-fibre family,,68,6,8,1024,768,128,128,68,68
flax,Flax,Resource,Raw material,2,resources.fiber,generated raw-fibre family,,69,6,9,1152,768,128,128,69,69
wool,Wool,Resource,Raw material,3,resources.fiber,generated raw-fibre family,,70,7,0,0,896,128,128,70,70
silk,Silk,Resource,Raw material,4,resources.fiber,generated raw-fibre family,,71,7,1,128,896,128,128,71,71
mythril_silk,Mythril Silk,Resource,Raw material,5,resources.fiber,generated raw-fibre family,,72,7,2,256,896,128,128,72,72
starweave,Starweave,Resource,Raw material,6,resources.fiber,generated raw-fibre family,,73,7,3,384,896,128,128,73,73
shadowweave,Shadowweave,Resource,Raw material,7,resources.fiber,generated raw-fibre family,,74,7,4,512,896,128,128,74,74
runic_thread,Runic Thread,Resource,Raw material,8,resources.fiber,generated raw-fibre family,,75,7,5,640,896,128,128,75,75
dragonscale_silk,Dragonscale Silk,Resource,Raw material,9,resources.fiber,generated raw-fibre family,,76,7,6,768,896,128,128,76,76
aether_silk,Aether Silk,Resource,Raw material,10,resources.fiber,generated raw-fibre family,,77,7,7,896,896,128,128,77,77
void_thread,Void Thread,Resource,Raw material,11,resources.fiber,generated raw-fibre family,,78,7,8,1024,896,128,128,78,78
celestial_silk,Celestial Silk,Resource,Raw material,12,resources.fiber,generated raw-fibre family,,79,7,9,1152,896,128,128,79,79
bloodweave,Bloodweave,Resource,Raw material,13,resources.fiber,generated raw-fibre family,,80,8,0,0,1024,128,128,80,80
moonsilk,Moonsilk,Resource,Raw material,14,resources.fiber,generated raw-fibre family,,81,8,1,128,1024,128,128,81,81
sunweave,Sunweave,Resource,Raw material,15,resources.fiber,generated raw-fibre family,,82,8,2,256,1024,128,128,82,82
netherweave,Netherweave,Resource,Raw material,16,resources.fiber,generated raw-fibre family,,83,8,3,384,1024,128,128,83,83
stormsilk,Stormsilk,Resource,Raw material,17,resources.fiber,generated raw-fibre family,,84,8,4,512,1024,128,128,84,84
regal_silk,Regal Silk,Resource,Raw material,18,resources.fiber,generated raw-fibre family,,85,8,5,640,1024,128,128,85,85
eternal_weave,Eternal Weave,Resource,Raw material,19,resources.fiber,generated raw-fibre family,,86,8,6,768,1024,128,128,86,86
astral_silk,Astral Silk,Resource,Raw material,20,resources.fiber,generated raw-fibre family,,87,8,7,896,1024,128,128,87,87
gravity_weave,Gravity Weave,Resource,Raw material,21,resources.fiber,generated raw-fibre family,,88,8,8,1024,1024,128,128,88,88
frostweave,Frostweave,Resource,Raw material,22,resources.fiber,generated raw-fibre family,,89,8,9,1152,1024,128,128,89,89
duskweave,Duskweave,Resource,Raw material,23,resources.fiber,generated raw-fibre family,,90,9,0,0,1152,128,128,90,90
titanweave,Titanweave,Resource,Raw material,24,resources.fiber,generated raw-fibre family,,91,9,1,128,1152,128,128,91,91
skysilk,Skysilk,Resource,Raw material,25,resources.fiber,generated raw-fibre family,,92,9,2,256,1152,128,128,92,92
emberweave,Emberweave,Resource,Raw material,26,resources.fiber,generated raw-fibre family,,93,9,3,384,1152,128,128,93,93
soulweave,Soulweave,Resource,Raw material,27,resources.fiber,generated raw-fibre family,,94,9,4,512,1152,128,128,94,94
chronoweave,Chronoweave,Resource,Raw material,28,resources.fiber,generated raw-fibre family,,95,9,5,640,1152,128,128,95,95
worldweave,Worldweave,Resource,Raw material,29,resources.fiber,generated raw-fibre family,,96,9,6,768,1152,128,128,96,96
voidglass_silk,Voidglass Silk,Resource,Raw material,30,resources.fiber,generated raw-fibre family,,97,9,7,896,1152,128,128,97,97
abyssal_silk,Abyssal Silk,Resource,Raw material,31,resources.fiber,generated raw-fibre family,,98,9,8,1024,1152,128,128,98,98
ashweave,Ashweave,Resource,Raw material,32,resources.fiber,generated raw-fibre family,,99,9,9,1152,1152,128,128,99,99
glacial_silk,Glacial Silk,Resource,Raw material,33,resources.fiber,generated raw-fibre family,,100,10,0,0,1280,128,128,100,100
primordial_weave,Primordial Weave,Resource,Raw material,34,resources.fiber,generated raw-fibre family,,101,10,1,128,1280,128,128,101,101
cut_ruby,Cut Ruby,Resource,Raw material,1,resources.cut_gem,generated cut-gem family,,102,10,2,256,1280,128,128,102,102
cut_garnet,Cut Garnet,Resource,Raw material,2,resources.cut_gem,generated cut-gem family,,103,10,3,384,1280,128,128,103,103
cut_amethyst,Cut Amethyst,Resource,Raw material,3,resources.cut_gem,generated cut-gem family,,104,10,4,512,1280,128,128,104,104
cut_topaz,Cut Topaz,Resource,Raw material,4,resources.cut_gem,generated cut-gem family,,105,10,5,640,1280,128,128,105,105
cut_peridot,Cut Peridot,Resource,Raw material,5,resources.cut_gem,generated cut-gem family,,106,10,6,768,1280,128,128,106,106
cut_aquamarine,Cut Aquamarine,Resource,Raw material,6,resources.cut_gem,generated cut-gem family,,107,10,7,896,1280,128,128,107,107
cut_onyx,Cut Onyx,Resource,Raw material,7,resources.cut_gem,generated cut-gem family,,108,10,8,1024,1280,128,128,108,108
cut_jade,Cut Jade,Resource,Raw material,8,resources.cut_gem,generated cut-gem family,,109,10,9,1152,1280,128,128,109,109
cut_sapphire,Cut Sapphire,Resource,Raw material,9,resources.cut_gem,generated cut-gem family,,110,11,0,0,1408,128,128,110,110
cut_opal,Cut Opal,Resource,Raw material,10,resources.cut_gem,generated cut-gem family,,111,11,1,128,1408,128,128,111,111
cut_alexandrite,Cut Alexandrite,Resource,Raw material,11,resources.cut_gem,generated cut-gem family,,112,11,2,256,1408,128,128,112,112
cut_citrine,Cut Citrine,Resource,Raw material,12,resources.cut_gem,generated cut-gem family,,113,11,3,384,1408,128,128,113,113
cut_spinel,Cut Spinel,Resource,Raw material,13,resources.cut_gem,generated cut-gem family,,114,11,4,512,1408,128,128,114,114
cut_moonstone,Cut Moonstone,Resource,Raw material,14,resources.cut_gem,generated cut-gem family,,115,11,5,640,1408,128,128,115,115
cut_sunstone,Cut Sunstone,Resource,Raw material,15,resources.cut_gem,generated cut-gem family,,116,11,6,768,1408,128,128,116,116
cut_tanzanite,Cut Tanzanite,Resource,Raw material,16,resources.cut_gem,generated cut-gem family,,117,11,7,896,1408,128,128,117,117
cut_tourmaline,Cut Tourmaline,Resource,Raw material,17,resources.cut_gem,generated cut-gem family,,118,11,8,1024,1408,128,128,118,118
cut_zircon,Cut Zircon,Resource,Raw material,18,resources.cut_gem,generated cut-gem family,,119,11,9,1152,1408,128,128,119,119
cut_lapis,Cut Lapis,Resource,Raw material,19,resources.cut_gem,generated cut-gem family,,120,12,0,0,1536,128,128,120,120
cut_labradorite,Cut Labradorite,Resource,Raw material,20,resources.cut_gem,generated cut-gem family,,121,12,1,128,1536,128,128,121,121
cut_malachite,Cut Malachite,Resource,Raw material,21,resources.cut_gem,generated cut-gem family,,122,12,2,256,1536,128,128,122,122
cut_howlite,Cut Howlite,Resource,Raw material,22,resources.cut_gem,generated cut-gem family,,123,12,3,384,1536,128,128,123,123
cut_shadow_pearl,Cut Shadow Pearl,Resource,Raw material,23,resources.cut_gem,generated cut-gem family,,124,12,4,512,1536,128,128,124,124
cut_celestite,Cut Celestite,Resource,Raw material,24,resources.cut_gem,generated cut-gem family,,125,12,5,640,1536,128,128,125,125
cut_azurite,Cut Azurite,Resource,Raw material,25,resources.cut_gem,generated cut-gem family,,126,12,6,768,1536,128,128,126,126
cut_cinnabar,Cut Cinnabar,Resource,Raw material,26,resources.cut_gem,generated cut-gem family,,127,12,7,896,1536,128,128,127,127
cut_phantom_quartz,Cut Phantom Quartz,Resource,Raw material,27,resources.cut_gem,generated cut-gem family,,128,12,8,1024,1536,128,128,128,128
cut_sphene,Cut Sphene,Resource,Raw material,28,resources.cut_gem,generated cut-gem family,,129,12,9,1152,1536,128,128,129,129
cut_heliodor,Cut Heliodor,Resource,Raw material,29,resources.cut_gem,generated cut-gem family,,130,13,0,0,1664,128,128,130,130
cut_void_crystal,Cut Void Crystal,Resource,Raw material,30,resources.cut_gem,generated cut-gem family,,131,13,1,128,1664,128,128,131,131
cut_abyssal_pearl,Cut Abyssal Pearl,Resource,Raw material,31,resources.cut_gem,generated cut-gem family,,132,13,2,256,1664,128,128,132,132
cut_pyrope,Cut Pyrope,Resource,Raw material,32,resources.cut_gem,generated cut-gem family,,133,13,3,384,1664,128,128,133,133
cut_glacial_diamond,Cut Glacial Diamond,Resource,Raw material,33,resources.cut_gem,generated cut-gem family,,134,13,4,512,1664,128,128,134,134
cut_primordial_gem,Cut Primordial Gem,Resource,Raw material,34,resources.cut_gem,generated cut-gem family,,135,13,5,640,1664,128,128,135,135
copper_mana,Copper Mana,Resource,Raw material,1,resources.mana,generated mana family,,136,13,6,768,1664,128,128,136,136
iron_mana,Iron Mana,Resource,Raw material,2,resources.mana,generated mana family,,137,13,7,896,1664,128,128,137,137
silver_mana,Silver Mana,Resource,Raw material,3,resources.mana,generated mana family,,138,13,8,1024,1664,128,128,138,138
gold_mana,Gold Mana,Resource,Raw material,4,resources.mana,generated mana family,,139,13,9,1152,1664,128,128,139,139
mythril_mana,Mythril Mana,Resource,Raw material,5,resources.mana,generated mana family,,140,14,0,0,1792,128,128,140,140
starsteel_mana,Starsteel Mana,Resource,Raw material,6,resources.mana,generated mana family,,141,14,1,128,1792,128,128,141,141
obsidian_mana,Obsidian Mana,Resource,Raw material,7,resources.mana,generated mana family,,142,14,2,256,1792,128,128,142,142
runite_mana,Runite Mana,Resource,Raw material,8,resources.mana,generated mana family,,143,14,3,384,1792,128,128,143,143
dragonsteel_mana,Dragonsteel Mana,Resource,Raw material,9,resources.mana,generated mana family,,144,14,4,512,1792,128,128,144,144
aethersteel_mana,Aethersteel Mana,Resource,Raw material,10,resources.mana,generated mana family,,145,14,5,640,1792,128,128,145,145
voidiron_mana,Voidiron Mana,Resource,Raw material,11,resources.mana,generated mana family,,146,14,6,768,1792,128,128,146,146
celestium_mana,Celestium Mana,Resource,Raw material,12,resources.mana,generated mana family,,147,14,7,896,1792,128,128,147,147
bloodstone_mana,Bloodstone Mana,Resource,Raw material,13,resources.mana,generated mana family,,148,14,8,1024,1792,128,128,148,148
moonsteel_mana,Moonsteel Mana,Resource,Raw material,14,resources.mana,generated mana family,,149,14,9,1152,1792,128,128,149,149
sunforged_mana,Sunforged Mana,Resource,Raw material,15,resources.mana,generated mana family,,150,15,0,0,1920,128,128,150,150
netherite_mana,Netherite Mana,Resource,Raw material,16,resources.mana,generated mana family,,151,15,1,128,1920,128,128,151,151
stormglass_mana,Stormglass Mana,Resource,Raw material,17,resources.mana,generated mana family,,152,15,2,256,1920,128,128,152,152
kingssteel_mana,Kingssteel Mana,Resource,Raw material,18,resources.mana,generated mana family,,153,15,3,384,1920,128,128,153,153
eternium_mana,Eternium Mana,Resource,Raw material,19,resources.mana,generated mana family,,154,15,4,512,1920,128,128,154,154
astralium_mana,Astralium Mana,Resource,Raw material,20,resources.mana,generated mana family,,155,15,5,640,1920,128,128,155,155
gravite_mana,Gravite Mana,Resource,Raw material,21,resources.mana,generated mana family,,156,15,6,768,1920,128,128,156,156
frostiron_mana,Frostiron Mana,Resource,Raw material,22,resources.mana,generated mana family,,157,15,7,896,1920,128,128,157,157
dusksteel_mana,Dusksteel Mana,Resource,Raw material,23,resources.mana,generated mana family,,158,15,8,1024,1920,128,128,158,158
titanium_mana,Titanium Mana,Resource,Raw material,24,resources.mana,generated mana family,,159,15,9,1152,1920,128,128,159,159
skysteel_mana,Skysteel Mana,Resource,Raw material,25,resources.mana,generated mana family,,160,16,0,0,2048,128,128,160,160
emberium_mana,Emberium Mana,Resource,Raw material,26,resources.mana,generated mana family,,161,16,1,128,2048,128,128,161,161
soulsteel_mana,Soulsteel Mana,Resource,Raw material,27,resources.mana,generated mana family,,162,16,2,256,2048,128,128,162,162
chronite_mana,Chronite Mana,Resource,Raw material,28,resources.mana,generated mana family,,163,16,3,384,2048,128,128,163,163
worldforge_mana,Worldforge Mana,Resource,Raw material,29,resources.mana,generated mana family,,164,16,4,512,2048,128,128,164,164
voidglass_mana,Voidglass Mana,Resource,Raw material,30,resources.mana,generated mana family,,165,16,5,640,2048,128,128,165,165
thalassic_mana,Thalassic Mana,Resource,Raw material,31,resources.mana,generated mana family,,166,16,6,768,2048,128,128,166,166
ashspire_mana,Ashspire Mana,Resource,Raw material,32,resources.mana,generated mana family,,167,16,7,896,2048,128,128,167,167
glacirite_mana,Glacirite Mana,Resource,Raw material,33,resources.mana,generated mana family,,168,16,8,1024,2048,128,128,168,168
primordite_mana,Primordite Mana,Resource,Raw material,34,resources.mana,generated mana family,,169,16,9,1152,2048,128,128,169,169
ruby,Ruby,Resource,Raw Gem,1,resources.raw_gem,generated raw-gem family,,170,17,0,0,2176,128,128,170,170
garnet,Garnet,Resource,Raw Gem,2,resources.raw_gem,generated raw-gem family,,171,17,1,128,2176,128,128,171,171
amethyst,Amethyst,Resource,Raw Gem,3,resources.raw_gem,generated raw-gem family,,172,17,2,256,2176,128,128,172,172
topaz,Topaz,Resource,Raw Gem,4,resources.raw_gem,generated raw-gem family,,173,17,3,384,2176,128,128,173,173
peridot,Peridot,Resource,Raw Gem,5,resources.raw_gem,generated raw-gem family,,174,17,4,512,2176,128,128,174,174
aquamarine,Aquamarine,Resource,Raw Gem,6,resources.raw_gem,generated raw-gem family,,175,17,5,640,2176,128,128,175,175
onyx,Onyx,Resource,Raw Gem,7,resources.raw_gem,generated raw-gem family,,176,17,6,768,2176,128,128,176,176
jade,Jade,Resource,Raw Gem,8,resources.raw_gem,generated raw-gem family,,177,17,7,896,2176,128,128,177,177
sapphire,Sapphire,Resource,Raw Gem,9,resources.raw_gem,generated raw-gem family,,178,17,8,1024,2176,128,128,178,178
opal,Opal,Resource,Raw Gem,10,resources.raw_gem,generated raw-gem family,,179,17,9,1152,2176,128,128,179,179
alexandrite,Alexandrite,Resource,Raw Gem,11,resources.raw_gem,generated raw-gem family,,180,18,0,0,2304,128,128,180,180
citrine,Citrine,Resource,Raw Gem,12,resources.raw_gem,generated raw-gem family,,181,18,1,128,2304,128,128,181,181
spinel,Spinel,Resource,Raw Gem,13,resources.raw_gem,generated raw-gem family,,182,18,2,256,2304,128,128,182,182
moonstone,Moonstone,Resource,Raw Gem,14,resources.raw_gem,generated raw-gem family,,183,18,3,384,2304,128,128,183,183
sunstone,Sunstone,Resource,Raw Gem,15,resources.raw_gem,generated raw-gem family,,184,18,4,512,2304,128,128,184,184
tanzanite,Tanzanite,Resource,Raw Gem,16,resources.raw_gem,generated raw-gem family,,185,18,5,640,2304,128,128,185,185
tourmaline,Tourmaline,Resource,Raw Gem,17,resources.raw_gem,generated raw-gem family,,186,18,6,768,2304,128,128,186,186
zircon,Zircon,Resource,Raw Gem,18,resources.raw_gem,generated raw-gem family,,187,18,7,896,2304,128,128,187,187
lapis,Lapis,Resource,Raw Gem,19,resources.raw_gem,generated raw-gem family,,188,18,8,1024,2304,128,128,188,188
labradorite,Labradorite,Resource,Raw Gem,20,resources.raw_gem,generated raw-gem family,,189,18,9,1152,2304,128,128,189,189
malachite,Malachite,Resource,Raw Gem,21,resources.raw_gem,generated raw-gem family,,190,19,0,0,2432,128,128,190,190
howlite,Howlite,Resource,Raw Gem,22,resources.raw_gem,generated raw-gem family,,191,19,1,128,2432,128,128,191,191
shadow_pearl,Shadow Pearl,Resource,Raw Gem,23,resources.raw_gem,generated raw-gem family,,192,19,2,256,2432,128,128,192,192
celestite,Celestite,Resource,Raw Gem,24,resources.raw_gem,generated raw-gem family,,193,19,3,384,2432,128,128,193,193
azurite,Azurite,Resource,Raw Gem,25,resources.raw_gem,generated raw-gem family,,194,19,4,512,2432,128,128,194,194
cinnabar,Cinnabar,Resource,Raw Gem,26,resources.raw_gem,generated raw-gem family,,195,19,5,640,2432,128,128,195,195
phantom_quartz,Phantom Quartz,Resource,Raw Gem,27,resources.raw_gem,generated raw-gem family,,196,19,6,768,2432,128,128,196,196
sphene,Sphene,Resource,Raw Gem,28,resources.raw_gem,generated raw-gem family,,197,19,7,896,2432,128,128,197,197
heliodor,Heliodor,Resource,Raw Gem,29,resources.raw_gem,generated raw-gem family,,198,19,8,1024,2432,128,128,198,198
void_crystal,Void Crystal,Resource,Raw Gem,30,resources.raw_gem,generated raw-gem family,,199,19,9,1152,2432,128,128,199,199
abyssal_pearl,Abyssal Pearl,Resource,Raw Gem,31,resources.raw_gem,generated raw-gem family,,200,20,0,0,2560,128,128,200,200
pyrope,Pyrope,Resource,Raw Gem,32,resources.raw_gem,generated raw-gem family,,201,20,1,128,2560,128,128,201,201
glacial_diamond,Glacial Diamond,Resource,Raw Gem,33,resources.raw_gem,generated raw-gem family,,202,20,2,256,2560,128,128,202,202
primordial_gem,Primordial Gem,Resource,Raw Gem,34,resources.raw_gem,generated raw-gem family,,203,20,3,384,2560,128,128,203,203
copper_bar,Copper Bar,Processed,Crafting material,1,processed.bar,supplied ingot sheet / generated tier 33-34,,204,20,4,512,2560,128,128,204,204
iron_bar,Iron Bar,Processed,Crafting material,2,processed.bar,supplied ingot sheet / generated tier 33-34,,205,20,5,640,2560,128,128,205,205
silver_bar,Silver Bar,Processed,Crafting material,3,processed.bar,supplied ingot sheet / generated tier 33-34,,206,20,6,768,2560,128,128,206,206
gold_bar,Gold Bar,Processed,Crafting material,4,processed.bar,supplied ingot sheet / generated tier 33-34,,207,20,7,896,2560,128,128,207,207
mythril_bar,Mythril Bar,Processed,Crafting material,5,processed.bar,supplied ingot sheet / generated tier 33-34,,208,20,8,1024,2560,128,128,208,208
starsteel_bar,Starsteel Bar,Processed,Crafting material,6,processed.bar,supplied ingot sheet / generated tier 33-34,,209,20,9,1152,2560,128,128,209,209
obsidian_bar,Obsidian Bar,Processed,Crafting material,7,processed.bar,supplied ingot sheet / generated tier 33-34,,210,21,0,0,2688,128,128,210,210
runite_bar,Runite Bar,Processed,Crafting material,8,processed.bar,supplied ingot sheet / generated tier 33-34,,211,21,1,128,2688,128,128,211,211
dragonsteel_bar,Dragonsteel Bar,Processed,Crafting material,9,processed.bar,supplied ingot sheet / generated tier 33-34,,212,21,2,256,2688,128,128,212,212
aethersteel_bar,Aethersteel Bar,Processed,Crafting material,10,processed.bar,supplied ingot sheet / generated tier 33-34,,213,21,3,384,2688,128,128,213,213
voidiron_bar,Voidiron Bar,Processed,Crafting material,11,processed.bar,supplied ingot sheet / generated tier 33-34,,214,21,4,512,2688,128,128,214,214
celestium_bar,Celestium Bar,Processed,Crafting material,12,processed.bar,supplied ingot sheet / generated tier 33-34,,215,21,5,640,2688,128,128,215,215
bloodstone_bar,Bloodstone Bar,Processed,Crafting material,13,processed.bar,supplied ingot sheet / generated tier 33-34,,216,21,6,768,2688,128,128,216,216
moonsteel_bar,Moonsteel Bar,Processed,Crafting material,14,processed.bar,supplied ingot sheet / generated tier 33-34,,217,21,7,896,2688,128,128,217,217
sunforged_bar,Sunforged Bar,Processed,Crafting material,15,processed.bar,supplied ingot sheet / generated tier 33-34,,218,21,8,1024,2688,128,128,218,218
